City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Santarem,BR,-2.44,-54.71,84.2,74,20,6.93,few clouds
238,Sioux Lookout,CA,50.1,-91.92,15.8,85,90,10.29,light snow
239,Rocha,UY,-34.48,-54.33,71.51,83,76,7.99,broken clouds
240,Castro,BR,-24.79,-50.01,78.64,70,2,6.69,clear sky
241,Olafsvik,IS,64.89,-23.71,32.11,92,1,8.88,clear sky
242,Harlingen,US,26.19,-97.7,79.0,65,75,27.51,broken clouds
243,Kochi,IN,9.94,76.26,80.6,83,20,1.83,moderate rain
244,Rio Gallegos,AR,-51.62,-69.22,62.6,38,40,8.05,scattered clouds
245,Noyabrsk,RU,63.2,75.45,-19.86,88,68,6.98,broken clouds
246,Montague,US,42.54,-72.54,34.0,66,100,10.36,overcast clouds
247,Prattville,US,32.46,-86.46,69.8,56,1,8.05,clear sky
248,Buritis,BR,-15.62,-46.42,85.77,55,54,3.96,broken clouds
249,Maceio,BR,-9.67,-35.74,84.2,62,40,5.82,scattered clouds
250,Cartagena,CO,10.4,-75.51,86.0,70,40,8.05,scattered clouds
251,Pontes E Lacerda,BR,-15.23,-59.34,92.66,43,85,4.56,light rain
252,Iskitim,RU,54.64,83.3,-2.2,64,100,17.9,overcast clouds
253,Leshukonskoye,RU,64.9,45.76,3.96,93,75,6.71,broken clouds
254,Kalmunai,LK,7.42,81.82,79.03,85,45,11.61,moderate rain
255,Barranca,PE,-10.75,-77.77,74.59,70,88,10.18,overcast clouds
256,Saint-Joseph,RE,-21.37,55.62,78.8,78,0,27.51,light rain
257,Shimsk,RU,58.21,30.71,35.04,96,100,8.88,overcast clouds
258,Guarapari,BR,-20.67,-40.5,84.2,58,20,18.34,few clouds
259,Saint-Augustin,CA,51.23,-58.65,18.82,88,85,16.28,overcast clouds
260,Sheregesh,RU,52.92,87.99,6.22,93,100,2.57,overcast clouds
261,Prieska,ZA,-29.66,22.75,85.41,15,82,7.96,broken clouds
262,Havelock,US,34.88,-76.9,61.0,71,1,10.29,clear sky
263,Camacha,PT,33.08,-16.33,57.2,87,75,13.87,light intensity shower rain
264,Mahebourg,MU,-20.41,57.7,77.0,88,40,13.87,shower rain
265,Akhalgori,GE,42.13,44.48,33.8,73,90,2.24,mist
266,Luanda,AO,-8.84,13.23,80.6,78,20,10.29,few clouds
267,Nuqui,CO,5.71,-77.27,78.69,83,73,8.19,moderate rain
268,Jutai,BR,-5.18,-68.9,92.59,43,88,3.56,overcast clouds
269,San Carlos De Bariloche,AR,-41.15,-71.31,57.2,41,20,28.86,few clouds
270,Nizhnyaya Tavda,RU,57.67,66.17,-20.54,87,51,4.65,broken clouds
271,Uvira,CD,-3.41,29.15,76.39,64,77,3.36,light rain
272,Vytegra,RU,61.01,36.45,31.33,97,59,9.66,broken clouds
273,Darnah,LY,32.77,22.64,60.17,49,0,10.47,clear sky
274,Bergerac,FR,44.83,0.5,44.01,93,0,3.36,clear sky
275,Bilma,NE,18.69,12.92,67.1,22,0,6.11,clear sky
276,Henties Bay,NA,-22.12,14.28,64.99,84,81,1.01,broken clouds
277,Belmonte,BR,-15.86,-38.88,82.4,61,40,12.75,scattered clouds
278,Bubaque,GW,11.28,-15.83,80.26,78,0,13.8,clear sky
279,Santa Rosa,PH,14.31,121.11,80.6,74,90,4.7,light rain
280,Umm Kaddadah,SD,13.6,26.69,75.61,20,0,12.97,clear sky
281,Qeshm,IR,26.96,56.27,66.2,54,0,4.7,clear sky
282,Japura,ID,-0.32,102.35,74.41,96,100,0.87,light rain
283,Dondo,MZ,-19.61,34.74,84.2,83,75,16.11,broken clouds
284,Madhugiri,IN,13.66,77.21,67.3,88,15,8.95,few clouds
285,Dingle,PH,11.0,122.67,76.57,89,96,8.34,light rain
286,Berlevag,NO,70.86,29.09,26.6,58,0,2.24,clear sky
287,Kommunisticheskiy,RU,61.68,64.48,-25.19,86,13,4.03,few clouds
288,Pitkyaranta,RU,61.57,31.48,35.82,90,100,16.87,overcast clouds
289,Walvis Bay,NA,-22.96,14.51,66.2,68,98,14.99,overcast clouds
290,Tazmalt,DZ,36.39,4.4,50.0,66,40,5.82,scattered clouds
291,Rognan,NO,67.1,15.39,33.8,69,0,20.8,clear sky
292,Makinsk,KZ,52.63,70.42,-16.47,87,35,10.4,scattered clouds
293,Kolosovka,RU,56.47,73.61,-18.83,87,98,10.31,overcast clouds
294,Luena,AO,-11.78,19.92,64.99,97,100,5.82,light rain
295,Sohagpur,IN,22.7,78.2,57.78,62,3,7.36,clear sky
296,Vila Franca Do Campo,PT,37.72,-25.43,57.2,82,20,9.17,few clouds
297,San Cristobal,VE,7.77,-72.22,78.8,69,40,10.29,scattered clouds
298,Nantucket,US,41.28,-70.1,39.2,51,1,9.17,clear sky
299,Catalao,BR,-18.17,-47.95,81.97,64,79,4.85,light rain
300,Manjeshwar,IN,12.72,74.89,80.6,83,40,3.53,scattered clouds
301,Richards Bay,ZA,-28.78,32.04,74.28,85,40,7.49,scattered clouds
302,Puerto Leguizamo,CO,-0.19,-74.78,91.04,48,57,5.03,broken clouds
303,Vestmannaeyjar,IS,63.44,-20.27,30.2,74,20,6.93,few clouds
304,Dwarka,IN,22.24,68.97,67.6,40,0,18.3,clear sky
305,Neverkino,RU,52.79,46.74,7.86,95,100,6.51,overcast clouds
306,Yzeure,FR,46.56,3.35,39.2,80,90,3.36,overcast clouds
307,Jackson,US,42.42,-122.83,41.0,74,75,2.01,broken clouds
308,Visby,SE,57.64,18.3,37.0,100,40,8.05,scattered clouds
309,Waddan,LY,29.16,16.14,61.25,29,0,4.59,clear sky
310,Lagarto,BR,-10.92,-37.65,86.0,58,20,10.29,few clouds
311,Bursa,TR,40.17,29.08,44.6,75,40,3.67,scattered clouds
312,Chebarkul,RU,54.97,60.36,5.31,92,82,0.43,broken clouds
313,Lebu,CL,-37.62,-73.65,59.7,59,0,20.29,clear sky
314,Rawson,AR,-43.3,-65.1,64.08,39,41,19.19,scattered clouds
315,Kabalo,CD,-6.05,26.92,72.27,94,100,3.8,moderate rain
316,Odienne,CI,9.51,-7.57,85.82,13,0,3.09,clear sky
317,Vadlapudi,IN,14.32,79.8,72.73,83,18,3.94,few clouds
318,Mandal,IN,25.45,74.57,47.1,51,0,4.21,clear sky
319,Severnyy,RU,50.68,36.55,33.8,95,90,13.42,snow
320,Buraydah,SA,26.33,43.98,62.6,72,0,6.93,clear sky
321,Benjamin Constant,BR,-4.38,-70.03,87.8,62,40,3.36,scattered clouds
322,Anniston,US,33.66,-85.83,64.99,67,1,10.29,clear sky
323,Antalaha,MG,-14.9,50.28,74.88,83,38,7.38,scattered clouds
324,Aleysk,RU,52.49,82.78,2.12,93,100,9.91,overcast clouds
325,Quelimane,MZ,-17.88,36.89,84.2,83,75,8.05,broken clouds
326,Bako,ET,5.78,36.57,73.94,46,96,2.37,overcast clouds
327,Santa Cruz De Tenerife,ES,28.47,-16.25,64.0,93,75,4.7,fog
328,Effingham,US,32.37,-81.33,66.99,72,75,6.93,broken clouds
329,Zhezkazgan,KZ,47.8,67.71,-2.34,94,1,1.01,clear sky
330,Saint-Pierre,RE,-21.34,55.48,78.8,78,0,27.51,clear sky
331,Soverato,IT,38.69,16.55,51.8,100,53,3.36,broken clouds
332,Santa Ana,US,33.75,-117.87,64.0,50,40,1.74,scattered clouds
333,Aksarka,RU,66.56,67.8,-19.59,88,96,7.96,overcast clouds
334,Loandjili,CG,-4.76,11.86,80.6,88,75,9.17,thunderstorm
335,Sao Joao Da Barra,BR,-21.64,-41.05,86.0,55,0,18.34,clear sky
