City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Mayumba,GA,78.37,overcast clouds,-3.43,10.66,LIKWALE LODGE
564,Hun,LY,62.85,clear sky,29.13,15.95,Alrwasi Hotel
568,Soyo,AO,79.38,light rain,-6.13,12.37,Hotel Mpampa
569,Umm Lajj,SA,74.86,clear sky,25.02,37.27,Moon light Furnished Units
570,Lantana,US,77.0,scattered clouds,26.59,-80.05,Eau Palm Beach Resort & Spa
573,Manicore,BR,77.7,overcast clouds,-5.81,-61.3,Pousada da wanda
578,Wilmington Island,US,66.99,broken clouds,32.0,-80.97,Breezeway Studio Manor LLC
579,Gualaquiza,EC,79.36,light rain,-3.4,-78.55,Hotel Merceditas
580,Saint-Leu,RE,78.8,clear sky,-21.15,55.28,La Caz Oceane
583,Badvel,IN,69.51,clear sky,14.75,79.05,R&B Bungalow
584,Filiates,GR,60.8,broken clouds,39.6,20.31,Το χωριό του Μηνά
585,Mitzic,GA,72.12,light rain,0.78,11.55,HOTEL NGUE
588,Awbari,LY,55.81,clear sky,26.59,12.78,فندق أوباري
592,Ambovombe,MG,77.27,clear sky,-25.17,46.08,RELAHARA
593,Marrakesh,MA,60.8,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
596,Katakwi,UG,78.4,broken clouds,1.89,33.97,Ebenezer Guest House
602,Porbandar,IN,63.39,clear sky,21.64,69.61,Lords Inn Porbandar
603,Rafaela,AR,73.99,light rain,-31.25,-61.49,Parra Hotel & Suites
604,Dutse,NG,74.95,few clouds,11.76,9.34,Kaci
605,Islamkot,PK,58.12,clear sky,24.7,70.18,Ghazi Guest House
607,Mathbaria,BD,63.03,clear sky,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
610,Sarai Mir,IN,59.0,mist,26.02,82.92,Rasoolpur Barwa
612,Maldonado,UY,69.8,light rain,-34.67,-54.92,La Cimarrona
623,Vieste,IT,54.0,scattered clouds,41.88,16.18,Hotel Falcone
624,Jangaon,IN,68.38,scattered clouds,17.72,79.18,DEW INDUSTRIES WAREHOUSE
632,Parrita,CR,78.8,clear sky,9.52,-84.32,Beso del Viento
633,Kutum,SD,69.01,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
634,Kuruman,ZA,70.54,moderate rain,-27.45,23.43,Cornerstone Guest House
635,Morrope,PE,73.4,overcast clouds,-6.54,-80.01,Hospedaje Santa Rosa
636,Mwinilunga,ZM,65.28,light rain,-11.74,24.43,Kwakuwahi Lodge
638,Malanje,AO,65.71,light rain,-9.54,16.34,Malanje Hotel
641,Kuito,AO,62.46,light rain,-12.38,16.93,Herdeiros de Antunes Capusso
643,Cordoba,AR,71.6,scattered clouds,-31.41,-64.18,Sheraton Cordoba Hotel
645,Viota,CO,68.0,broken clouds,4.44,-74.52,Balneario la Villa de David
648,Bayonet Point,US,75.99,broken clouds,28.33,-82.68,Holiday Inn Express & Suites Port Richey
653,Ascension,US,73.4,overcast clouds,30.22,-90.9,Highland Inn
654,Hendek,TR,50.0,clear sky,40.8,30.75,Hendek Ogretmenevi
657,Sikeston,US,51.8,light rain,36.88,-89.59,Holiday Inn Express & Suites Sikeston
660,Srivardhan,IN,73.49,clear sky,18.03,73.02,Savli Resort/Hotel - Shrivardhan
661,Sakakah,SA,53.6,broken clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
662,Matay,EG,57.69,clear sky,28.42,30.78,Nag Aespen
666,Shambu,ET,60.3,broken clouds,9.57,37.1,Wabe Hotel
667,Narasannapeta,IN,66.9,clear sky,18.42,84.05,G.lingaraju home
670,Mocuba,MZ,79.09,overcast clouds,-16.84,36.99,Phama Lodge
672,Yokadouma,CM,78.53,overcast clouds,3.52,15.05,Hôtel De Ville De Yokadouma
674,Toamasina,MG,78.8,shower rain,-18.17,49.38,Hotel H1
675,Santa Rosa De Cabal,CO,75.2,scattered clouds,4.87,-75.62,Hotel Suite Santa Rosa
680,Mananjary,MG,75.79,clear sky,-21.22,48.33,Vahiny Lodge
682,Naron,ES,51.01,overcast clouds,43.52,-8.15,Marcial
684,Ballitoville,ZA,71.6,light rain,-29.54,31.21,Hotel Fairmont Zimbali Resort
687,Riyadh,SA,59.0,clear sky,24.69,46.72,InterContinental Riyadh
694,Handia,IN,59.0,mist,25.38,82.18,Jama Masjid Damgarah
697,Mecca,SA,76.44,scattered clouds,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
699,Ibra,OM,55.6,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
704,Saurimo,AO,66.96,light rain,-9.66,20.39,Hotel Kawissa Saurimo
707,Madisonville,US,57.99,moderate rain,37.33,-87.5,Days Inn by Wyndham Madisonville
713,Padang,ID,75.2,light rain,-0.95,100.35,Mercure Padang
714,Esmeralda,CU,78.8,scattered clouds,21.85,-78.12,Centro de Pioneros Exploradores
716,Arlit,NE,74.1,clear sky,18.74,7.39,Hôtel Telwa Bungalow
